,id,age,bmi,daily_steps,sleep_hours,water_intake_l,calories_consumed,smoker,alcohol,resting_hr,systolic_bp,diastolic_bp,cholesterol,family_history,disease_risk
id,1.0,-0.0013920676387546467,0.001222273139257969,0.0014696010748555374,-0.00069317339907451,-0.0005322045388177535,-0.0045124431592681105,-0.001161459595660802,0.003284875805130261,-0.002270210579996358,0.0016514006092162201,0.005161458551613701,-0.0016864018852421662,-0.002012944003567462,0.00029434867354600027
age,-0.0013920676387546467,1.0,0.00119770898779752,0.004847107742078414,0.00043656594591454844,-0.005644330160868781,-0.0026838474671796154,-0.002454557743271023,-0.0009232215815149972,0.001459669338777043,0.0008059824059813525,0.0001784198046178712,0.0007474611055823738,0.002650787492155463,0.0016713750582960792
bmi,0.001222273139257969,0.00119770898779752,1.0,0.0018140091715289858,0.0009220059036645906,-0.003633839932369267,0.0022618971695355225,-0.00340610092542301,0.00213812453480248,-0.0063267191255627735,0.0008057708309966773,-0.003099954098010122,0.0020446638315646955,0.002268329426575385,0.003585731644497263
daily_steps,0.0014696010748555374,0.004847107742078414,0.0018140091715289858,1.0,-0.001209486544595614,-0.000898150368453348,0.0003059864563436143,0.0004527213486759129,0.003455775475717116,0.004401023089665438,-0.0020491418332027715,-0.003537072544336749,0.00012260849873488357,0.002351088146757769,-0.0034443287507080348
sleep_hours,-0.00069317339907451,0.00043656594591454844,0.0009220059036645906,-0.001209486544595614,1.0,0.0015068075192370633,0.0012294355269527263,0.0010552172428008294,-0.00633196582957403,0.0026282027215910634,0.00018020192681046342,0.002243076878010154,0.003051134410388173,-0.0018774844892739207,0.0025821584225640113
water_intake_l,-0.0005322045388177535,-0.005644330160868781,-0.003633839932369267,-0.000898150368453348,0.0015068075192370633,1.0,-0.007589638350343573,0.0015550672672404646,0.0036637260372657634,0.0008719798864874412,-0.0032366798397673183,-0.0013209542513544993,0.0025760245538705563,0.0019695517627605114,-0.0019018486730551331
calories_consumed,-0.0045124431592681105,-0.0026838474671796154,0.0022618971695355225,0.0003059864563436143,0.0012294355269527263,-0.007589638350343573,1.0,0.00222330843829083,0.005630209234096197,0.0008891182112036746,-0.00017146791381238168,0.004269649304891327,-0.00521814735832404,-0.004836085369755075,0.0027371927737054064
smoker,-0.001161459595660802,-0.002454557743271023,-0.00340610092542301,0.0004527213486759129,0.0010552172428008294,0.0015550672672404646,0.00222330843829083,1.0,0.0024722765811039243,-0.0014385032081553689,0.0036521681809886745,-0.0073310969976238555,0.0009988436152283794,0.0027186020325857176,0.0011247249612122833
alcohol,0.003284875805130261,-0.0009232215815149972,0.00213812453480248,0.003455775475717116,-0.00633196582957403,0.0036637260372657634,0.005630209234096197,0.0024722765811039243,1.0,0.004569659206195931,-0.004618028939835123,0.003477544223192493,-0.0035992465467207654,-0.0029594073604129623,0.0005154383703038595
resting_hr,-0.002270210579996358,0.001459669338777043,-0.0063267191255627735,0.004401023089665438,0.0026282027215910634,0.0008719798864874412,0.0008891182112036746,-0.0014385032081553689,0.004569659206195931,1.0,0.0007911230275529114,-0.0017555441267406544,-0.0017209374707623218,0.00010792944379185293,0.00543664282134276
systolic_bp,0.0016514006092162201,0.0008059824059813525,0.0008057708309966773,-0.0020491418332027715,0.00018020192681046342,-0.0032366798397673183,-0.00017146791381238168,0.0036521681809886745,-0.004618028939835123,0.0007911230275529114,1.0,-0.002257005263288954,0.006214738563067873,0.001133955356714619,0.0010857681124071205
diastolic_bp,0.005161458551613701,0.0001784198046178712,-0.003099954098010122,-0.003537072544336749,0.002243076878010154,-0.0013209542513544993,0.004269649304891327,-0.0073310969976238555,0.003477544223192493,-0.0017555441267406544,-0.002257005263288954,1.0,0.001071944710450238,-0.0013386104063251223,-0.0037741897534965814
cholesterol,-0.0016864018852421662,0.0007474611055823738,0.0020446638315646955,0.00012260849873488357,0.003051134410388173,0.0025760245538705563,-0.00521814735832404,0.0009988436152283794,-0.0035992465467207654,-0.0017209374707623218,0.006214738563067873,0.001071944710450238,1.0,0.005016193106906154,-0.003940899354409294
family_history,-0.002012944003567462,0.002650787492155463,0.002268329426575385,0.002351088146757769,-0.0018774844892739207,0.0019695517627605114,-0.004836085369755075,0.0027186020325857176,-0.0029594073604129623,0.00010792944379185293,0.001133955356714619,-0.0013386104063251223,0.005016193106906154,1.0,0.0032254557719157556
disease_risk,0.00029434867354600027,0.0016713750582960792,0.003585731644497263,-0.0034443287507080348,0.0025821584225640113,-0.0019018486730551331,0.0027371927737054064,0.0011247249612122833,0.0005154383703038595,0.00543664282134276,0.0010857681124071205,-0.0037741897534965814,-0.003940899354409294,0.0032254557719157556,1.0
